rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
67,allowed_displacement_grades=strong,14,110,-0.304053,0.071429,0.071429,0.357143,100.0,3.158612,0,0,false,false,strong,,
68,"allowed_displacement_grades=strong;allowed_htf_locations=discount,premium",14,110,-0.304053,0.071429,0.071429,0.357143,100.0,3.158612,0,0,false,false,strong,"discount,premium",
69,min_decision_score=50;allowed_displacement_grades=strong,14,110,-0.304053,0.071429,0.071429,0.357143,100.0,3.158612,50,0,false,false,strong,,
70,"min_decision_score=50;allowed_displacement_grades=strong;allowed_htf_locations=discount,premium",14,110,-0.304053,0.071429,0.071429,0.357143,100.0,3.158612,50,0,false,false,strong,"discount,premium",
71,min_decision_score=70;allowed_displacement_grades=strong,14,110,-0.304053,0.071429,0.071429,0.357143,100.0,3.158612,70,0,false,false,strong,,
72,"min_decision_score=70;allowed_displacement_grades=strong;allowed_htf_locations=discount,premium",14,110,-0.304053,0.071429,0.071429,0.357143,100.0,3.158612,70,0,false,false,strong,"discount,premium",
73,min_target_distance_r=3,34,90,-0.502269,0.058824,0.088235,0.558824,99.911765,8.879572,0,3,false,false,,,
74,"min_target_distance_r=3;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",34,90,-0.502269,0.058824,0.088235,0.558824,99.911765,8.879572,0,3,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
75,"min_target_distance_r=3;allowed_htf_locations=discount,premium",34,90,-0.502269,0.058824,0.088235,0.558824,99.911765,8.879572,0,3,false,false,,"discount,premium",
76,"min_target_distance_r=3;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",34,90,-0.502269,0.058824,0.088235,0.558824,99.911765,8.879572,0,3,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
77,min_decision_score=50;min_target_distance_r=3,34,90,-0.502269,0.058824,0.088235,0.558824,99.911765,8.879572,50,3,false,false,,,
78,"min_decision_score=50;min_target_distance_r=3;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",34,90,-0.502269,0.058824,0.088235,0.558824,99.911765,8.879572,50,3,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
79,"min_decision_score=50;min_target_distance_r=3;allowed_htf_locations=discount,premium",34,90,-0.502269,0.058824,0.088235,0.558824,99.911765,8.879572,50,3,false,false,,"discount,premium",
80,"min_decision_score=50;min_target_distance_r=3;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",34,90,-0.502269,0.058824,0.088235,0.558824,99.911765,8.879572,50,3,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
81,min_decision_score=70;min_target_distance_r=3,34,90,-0.502269,0.058824,0.088235,0.558824,99.911765,8.879572,70,3,false,false,,,
82,"min_decision_score=70;min_target_distance_r=3;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",34,90,-0.502269,0.058824,0.088235,0.558824,99.911765,8.879572,70,3,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
83,"min_decision_score=70;min_target_distance_r=3;allowed_htf_locations=discount,premium",34,90,-0.502269,0.058824,0.088235,0.558824,99.911765,8.879572,70,3,false,false,,"discount,premium",
84,"min_decision_score=70;min_target_distance_r=3;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",34,90,-0.502269,0.058824,0.088235,0.558824,99.911765,8.879572,70,3,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
