run,model,count,activated_trades,managed_expectancy,gross_managed_expectancy,profit_factor,avg_execution_cost_r,avg_total_cost_r,avg_mfe_r,avg_rr,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,walk_forward_passed,walk_forward_failed_gates,top_no_trade_reasons,barriers,source_dir
full_2025_1h_strict_ce_mt,rejection_block,87,87,,,,,,4.819507,3.207883,0.333333,0.505747,0.356322,0.632184,,,none:33:;target_rr_below_2:28:;target_rr_below_3:26:,high_invalidation;missing_expectancy;missing_profit_factor;target_rr_pressure,backtest_results\full_2025_1h_strict_ce_mt
full_2025_1h_strict_wide_stop,rejection_block,87,87,,,,,,4.819507,3.207883,0.333333,0.505747,0.356322,0.632184,,,none:33:;target_rr_below_2:28:;target_rr_below_3:26:,high_invalidation;missing_expectancy;missing_profit_factor;target_rr_pressure,backtest_results\full_2025_1h_strict_wide_stop
full_2025_30m_btc_strict_ce_mt,rejection_block,71,71,,,,,,3.647778,2.158731,0.28169,0.422535,0.169014,0.704225,,,target_rr_below_2:41:;target_rr_below_3:17:;none:13:,high_invalidation;missing_expectancy;missing_profit_factor;target_rr_pressure;weak_1r_followthrough,backtest_results\full_2025_30m_btc_strict_ce_mt
full_2025_30m_btc_strict_wide_stop,rejection_block,71,71,,,,,,3.647778,2.158731,0.28169,0.422535,0.169014,0.704225,,,target_rr_below_2:41:;target_rr_below_3:17:;none:13:,high_invalidation;missing_expectancy;missing_profit_factor;target_rr_pressure;weak_1r_followthrough,backtest_results\full_2025_30m_btc_strict_wide_stop
full_2025_4h_strict_ce_mt,rejection_block,25,25,,,,,,2.872896,2.087349,0.36,0.28,0.16,0.64,,,target_rr_below_2:18:;none:5:;target_rr_below_3:2:,high_invalidation;missing_expectancy;missing_profit_factor;target_rr_pressure;thin_sample;weak_1r_followthrough,backtest_results\full_2025_4h_strict_ce_mt
full_2025_4h_strict_wide_stop,rejection_block,25,25,,,,,,2.872896,2.087349,0.36,0.28,0.16,0.64,,,target_rr_below_2:18:;none:5:;target_rr_below_3:2:,high_invalidation;missing_expectancy;missing_profit_factor;target_rr_pressure;thin_sample;weak_1r_followthrough,backtest_results\full_2025_4h_strict_wide_stop
notebooklm_smoke_2025_btc_1h,silver_bullet,1,1,1.5,,,,,3.589295,2.0,1.0,1.0,1.0,0.0,,,none:1:1.5,missing_profit_factor;thin_sample,backtest_results\notebooklm_smoke_2025_btc_1h
silver_bullet_notebooklm_am_pm_htf_strict_quality_gates_may_jun_2025_btc_15m,silver_bullet,1,1,1.5,,,,,2.086688,2.0,1.0,1.0,1.0,0.0,,,none:1:1.5,missing_profit_factor;thin_sample,backtest_results\silver_bullet_notebooklm_am_pm_htf_strict_quality_gates_may_jun_2025_btc_15m
silver_bullet_notebooklm_am_pm_htf_strict_smoke_may_jun_2025_btc_15m,silver_bullet,1,1,1.5,,,,,2.086688,2.0,1.0,1.0,1.0,0.0,,,none:1:1.5,missing_profit_factor;thin_sample,backtest_results\silver_bullet_notebooklm_am_pm_htf_strict_smoke_may_jun_2025_btc_15m
silver_bullet_costed_2026_04_partial_btc_15m,silver_bullet,1,1,1.358288,1.5,,0.141712,,8.482492,2.0,1.0,1.0,1.0,0.0,,,none:1:1.358288,missing_profit_factor;thin_sample,backtest_results\silver_bullet_costed_2026_04_partial_btc_15m
