rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
63,"min_target_distance_r=3;require_smt=true;allowed_htf_locations=discount,premium",11,108,-0.040847,0.090909,0.272727,0.727273,100.0,10.846948,0,3,true,false,,"discount,premium",
64,"min_target_distance_r=3;require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,108,-0.040847,0.090909,0.272727,0.727273,100.0,10.846948,0,3,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
65,min_decision_score=50;min_target_distance_r=3;require_smt=true,11,108,-0.040847,0.090909,0.272727,0.727273,100.0,10.846948,50,3,true,false,,,
66,"min_decision_score=50;min_target_distance_r=3;require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,108,-0.040847,0.090909,0.272727,0.727273,100.0,10.846948,50,3,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
67,"min_decision_score=50;min_target_distance_r=3;require_smt=true;allowed_htf_locations=discount,premium",11,108,-0.040847,0.090909,0.272727,0.727273,100.0,10.846948,50,3,true,false,,"discount,premium",
68,"min_decision_score=50;min_target_distance_r=3;require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,108,-0.040847,0.090909,0.272727,0.727273,100.0,10.846948,50,3,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
69,min_decision_score=70;min_target_distance_r=3;require_smt=true,11,108,-0.040847,0.090909,0.272727,0.727273,100.0,10.846948,70,3,true,false,,,
70,"min_decision_score=70;min_target_distance_r=3;require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,108,-0.040847,0.090909,0.272727,0.727273,100.0,10.846948,70,3,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
71,"min_decision_score=70;min_target_distance_r=3;require_smt=true;allowed_htf_locations=discount,premium",11,108,-0.040847,0.090909,0.272727,0.727273,100.0,10.846948,70,3,true,false,,"discount,premium",
72,"min_decision_score=70;min_target_distance_r=3;require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,108,-0.040847,0.090909,0.272727,0.727273,100.0,10.846948,70,3,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
73,"allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,103,-0.22466,0.125,0.25,0.4375,100.0,14.331505,0,0,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
74,"allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,103,-0.22466,0.125,0.25,0.4375,100.0,14.331505,0,0,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
75,"min_target_distance_r=2;allowed_displacement_grades=valid,strong",16,103,-0.22466,0.125,0.25,0.4375,100.0,14.331505,0,2,false,false,"valid,strong",,
76,"min_target_distance_r=2;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,103,-0.22466,0.125,0.25,0.4375,100.0,14.331505,0,2,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
77,"min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",16,103,-0.22466,0.125,0.25,0.4375,100.0,14.331505,0,2,false,false,"valid,strong","discount,premium",
78,"min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,103,-0.22466,0.125,0.25,0.4375,100.0,14.331505,0,2,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
79,"min_decision_score=50;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,103,-0.22466,0.125,0.25,0.4375,100.0,14.331505,50,0,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
80,"min_decision_score=50;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,103,-0.22466,0.125,0.25,0.4375,100.0,14.331505,50,0,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
81,"min_decision_score=50;min_target_distance_r=2;allowed_displacement_grades=valid,strong",16,103,-0.22466,0.125,0.25,0.4375,100.0,14.331505,50,2,false,false,"valid,strong",,
82,"min_decision_score=50;min_target_distance_r=2;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,103,-0.22466,0.125,0.25,0.4375,100.0,14.331505,50,2,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
83,"min_decision_score=50;min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",16,103,-0.22466,0.125,0.25,0.4375,100.0,14.331505,50,2,false,false,"valid,strong","discount,premium",
