rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
95,min_decision_score=70;require_smt=true,39,859,0.331553,0.461538,0.282051,0.384615,95.897436,2.298129,70,0,true,false,,,
96,min_decision_score=50,854,44,0.306862,0.318501,0.265808,0.588993,77.908665,4.046734,50,0,false,false,,,
97,"require_smt=true;allowed_htf_locations=discount,premium",38,860,0.303229,0.447368,0.289474,0.394737,96.131579,2.324538,0,0,true,false,,"discount,premium",
98,"min_decision_score=50;require_smt=true;allowed_htf_locations=discount,premium",38,860,0.303229,0.447368,0.289474,0.394737,96.131579,2.324538,50,0,true,false,,"discount,premium",
99,"min_decision_score=70;require_smt=true;allowed_htf_locations=discount,premium",38,860,0.303229,0.447368,0.289474,0.394737,96.131579,2.324538,70,0,true,false,,"discount,premium",
100,none,898,0,0.291868,0.326281,0.261693,0.585746,76.296214,3.906642,0,0,false,false,,,
101,"allowed_displacement_grades=strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",10,888,0.25521,0.1,0.4,0.7,100.0,5.450567,0,0,false,false,strong,,"equilibrium,poor_pd_location,target_rr_below_2"
102,"allowed_displacement_grades=strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",10,888,0.25521,0.1,0.4,0.7,100.0,5.450567,0,0,false,false,strong,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
103,"min_target_distance_r=2;allowed_displacement_grades=strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",10,888,0.25521,0.1,0.4,0.7,100.0,5.450567,0,2,false,false,strong,,"equilibrium,poor_pd_location,target_rr_below_2"
104,"min_target_distance_r=2;allowed_displacement_grades=strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",10,888,0.25521,0.1,0.4,0.7,100.0,5.450567,0,2,false,false,strong,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
105,"min_target_distance_r=3;allowed_displacement_grades=strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",10,888,0.25521,0.1,0.4,0.7,100.0,5.450567,0,3,false,false,strong,,"equilibrium,poor_pd_location,target_rr_below_2"
