rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
36,"min_decision_score=70;min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,106,0.495703,0.272727,0.454545,0.636364,100.0,11.547798,70,3,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
37,"allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",14,103,0.447138,0.285714,0.5,0.642857,100.0,9.662836,0,0,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
38,"allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",14,103,0.447138,0.285714,0.5,0.642857,100.0,9.662836,0,0,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
39,"min_target_distance_r=2;allowed_displacement_grades=valid,strong",14,103,0.447138,0.285714,0.5,0.642857,100.0,9.662836,0,2,false,false,"valid,strong",,
40,"min_target_distance_r=2;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",14,103,0.447138,0.285714,0.5,0.642857,100.0,9.662836,0,2,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
41,"min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",14,103,0.447138,0.285714,0.5,0.642857,100.0,9.662836,0,2,false,false,"valid,strong","discount,premium",
42,"min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",14,103,0.447138,0.285714,0.5,0.642857,100.0,9.662836,0,2,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
43,"min_decision_score=50;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",14,103,0.447138,0.285714,0.5,0.642857,100.0,9.662836,50,0,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
44,"min_decision_score=50;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",14,103,0.447138,0.285714,0.5,0.642857,100.0,9.662836,50,0,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
45,"min_decision_score=50;min_target_distance_r=2;allowed_displacement_grades=valid,strong",14,103,0.447138,0.285714,0.5,0.642857,100.0,9.662836,50,2,false,false,"valid,strong",,
46,"min_decision_score=50;min_target_distance_r=2;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",14,103,0.447138,0.285714,0.5,0.642857,100.0,9.662836,50,2,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
47,"min_decision_score=50;min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",14,103,0.447138,0.285714,0.5,0.642857,100.0,9.662836,50,2,false,false,"valid,strong","discount,premium",
48,"min_decision_score=50;min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",14,103,0.447138,0.285714,0.5,0.642857,100.0,9.662836,50,2,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
49,"min_decision_score=70;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",14,103,0.447138,0.285714,0.5,0.642857,100.0,9.662836,70,0,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
50,"min_decision_score=70;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",14,103,0.447138,0.285714,0.5,0.642857,100.0,9.662836,70,0,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
51,"min_decision_score=70;min_target_distance_r=2;allowed_displacement_grades=valid,strong",14,103,0.447138,0.285714,0.5,0.642857,100.0,9.662836,70,2,false,false,"valid,strong",,
52,"min_decision_score=70;min_target_distance_r=2;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",14,103,0.447138,0.285714,0.5,0.642857,100.0,9.662836,70,2,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
