model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,2025-05-27,10:00-11:00,2,2,2,0,1.559264,1.559264,0.0,2.0,78.0,-1.0,-0.25,-0.25,0.0,0.5,0.0,1.0,1.5,5.5,5.0,,0,0
silver_bullet,2025-05-28,10:00-11:00,1,1,1,0,3.456322,3.456322,1.0,2.0,78.0,2.0,1.5,1.5,1.0,1.0,1.0,0.0,1.0,,5.0,6.0,0,0
silver_bullet,2025-05-28,14:00-15:00,4,4,4,0,3.106745,3.099652,0.25,2.0,78.0,-0.25,0.0,0.0,0.25,0.5,0.25,0.75,1.25,5.333333,5.0,13.0,0,0
silver_bullet,2025-05-29,10:00-11:00,1,1,1,0,3.108301,3.108301,0.0,2.0,78.0,-1.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,4.0,2.0,,0,0
silver_bullet,2025-05-29,14:00-15:00,2,2,2,0,1.977002,1.977002,0.0,2.0,78.0,-1.0,-0.25,-0.25,0.0,0.5,0.0,1.0,1.0,22.5,11.0,,0,0
silver_bullet,2025-05-30,10:00-11:00,4,4,4,0,3.76296,4.218744,0.0,2.0,78.0,-1.0,-0.625,-0.625,0.0,0.25,0.0,1.0,1.0,7.25,5.0,,0,0
silver_bullet,2025-05-30,14:00-15:00,1,1,1,0,0.72201,0.72201,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,51.0,,,0,0
silver_bullet,2025-05-31,10:00-11:00,1,1,1,0,3.707997,3.707997,1.0,2.0,78.0,2.0,1.5,1.5,1.0,1.0,1.0,0.0,1.0,,3.0,7.0,0,0
silver_bullet,2025-05-31,14:00-15:00,4,4,4,0,3.860832,3.43914,0.0,2.0,78.0,-1.0,-0.625,-0.625,0.0,0.25,0.0,1.0,1.0,3.75,2.0,,0,0
silver_bullet,2025-06-01,10:00-11:00,1,1,1,0,0.0,0.0,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,0
silver_bullet,2025-06-01,14:00-15:00,2,2,2,0,2.069989,2.069989,0.5,2.0,78.0,0.5,0.25,0.25,0.5,0.5,0.5,0.5,1.0,3.0,3.0,5.0,0,0
silver_bullet,2025-06-02,10:00-11:00,3,3,3,0,1.641626,0.372801,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.333333,16.666667,,,0,0
silver_bullet,2025-06-02,14:00-15:00,3,3,3,0,8.116821,6.542012,0.333333,2.0,78.0,0.0,-0.166667,-0.166667,0.333333,0.333333,0.333333,0.666667,1.333333,2.0,3.0,4.0,0,0
silver_bullet,2025-06-03,10:00-11:00,2,2,2,0,0.442202,0.442202,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,13.0,,,0,0
silver_bullet,2025-06-03,14:00-15:00,4,4,3,0,4.320838,4.45167,0.25,2.0,78.0,0.0,0.333333,0.333333,0.25,0.5,0.25,0.5,1.75,9.5,4.5,2.0,0,0
silver_bullet,2025-06-04,10:00-11:00,1,1,1,0,0.12782,0.12782,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,12.0,,,0,0
