rank,filter_name,count,filtered_out,expectancy,managed_expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
41,"min_decision_score=70;min_target_distance_r=2;allowed_htf_locations=discount,premium",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,70,2,false,false,,"discount,premium",
42,"min_decision_score=70;min_target_distance_r=2;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,70,2,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
43,none,49,0,0.309496,0.307646,0.285714,0.163265,0.387755,94.428571,2.410096,0,0,false,false,,,
44,"allowed_htf_locations=discount,premium",49,0,0.309496,0.307646,0.285714,0.163265,0.387755,94.428571,2.410096,0,0,false,false,,"discount,premium",
45,min_decision_score=50,49,0,0.309496,0.307646,0.285714,0.163265,0.387755,94.428571,2.410096,50,0,false,false,,,
46,"min_decision_score=50;allowed_htf_locations=discount,premium",49,0,0.309496,0.307646,0.285714,0.163265,0.387755,94.428571,2.410096,50,0,false,false,,"discount,premium",
47,min_decision_score=70,49,0,0.309496,0.307646,0.285714,0.163265,0.387755,94.428571,2.410096,70,0,false,false,,,
48,"min_decision_score=70;allowed_htf_locations=discount,premium",49,0,0.309496,0.307646,0.285714,0.163265,0.387755,94.428571,2.410096,70,0,false,false,,"discount,premium",
49,require_smt=true,12,37,0.257629,0.257701,0.5,0.166667,0.166667,99.5,1.460017,0,0,true,false,,,
50,"require_smt=true;allowed_htf_locations=discount,premium",12,37,0.257629,0.257701,0.5,0.166667,0.166667,99.5,1.460017,0,0,true,false,,"discount,premium",
51,min_decision_score=50;require_smt=true,12,37,0.257629,0.257701,0.5,0.166667,0.166667,99.5,1.460017,50,0,true,false,,,
52,"min_decision_score=50;require_smt=true;allowed_htf_locations=discount,premium",12,37,0.257629,0.257701,0.5,0.166667,0.166667,99.5,1.460017,50,0,true,false,,"discount,premium",
53,min_decision_score=70;require_smt=true,12,37,0.257629,0.257701,0.5,0.166667,0.166667,99.5,1.460017,70,0,true,false,,,
54,"min_decision_score=70;require_smt=true;allowed_htf_locations=discount,premium",12,37,0.257629,0.257701,0.5,0.166667,0.166667,99.5,1.460017,70,0,true,false,,"discount,premium",
