model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2025-05-29,02:00-03:00,2,2,2,0,4.105355,4.105355,0.0,1.4585,60.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,5.5,,,0,2
turtle_soup,2025-05-29,07:00-08:00,1,1,1,0,15.759466,15.759466,1.0,4.666772,70.0,4.666772,2.833386,2.833386,1.0,1.0,1.0,0.0,1.0,,2.0,5.0,0,0
turtle_soup,2025-05-29,10:00-11:00,4,4,4,0,5.144665,5.704106,1.0,1.653443,57.5,1.653443,1.280529,1.280529,1.0,0.75,0.5,0.0,1.0,,2.0,3.5,0,3
turtle_soup,2025-05-30,02:00-03:00,1,1,1,0,1.238543,1.238543,0.0,2.468966,60.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2025-05-30,07:00-08:00,5,5,5,0,8.581333,10.665751,0.0,5.115078,70.0,-1.0,-0.4,-0.4,0.0,0.4,0.4,1.0,1.0,4.2,2.5,3.0,2,1
turtle_soup,2025-05-30,10:00-11:00,6,6,6,0,2.961771,2.946513,0.166667,2.478836,58.333333,-0.615526,0.108904,0.108904,0.166667,0.666667,0.333333,0.833333,1.0,4.4,1.5,1.5,2,4
turtle_soup,2025-05-31,02:00-03:00,4,4,4,0,4.749085,4.483466,0.75,2.753369,62.5,1.559915,1.029957,1.029957,0.75,0.75,0.5,0.25,1.0,3.0,2.666667,1.5,0,2
turtle_soup,2025-05-31,07:00-08:00,3,3,3,0,11.796368,12.6896,0.666667,3.541656,70.0,2.248765,1.791049,1.791049,0.666667,1.0,0.666667,0.333333,1.0,3.0,1.666667,1.5,0,2
turtle_soup,2025-06-01,02:00-03:00,3,3,3,0,6.453918,7.081693,0.0,5.154468,66.666667,-1.0,-0.5,-0.5,0.0,0.333333,0.0,1.0,1.0,2.0,2.0,,1,1
turtle_soup,2025-06-01,07:00-08:00,1,1,1,0,5.749803,5.749803,0.0,2.345634,60.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,5.0,,,0,1
turtle_soup,2025-06-01,10:00-11:00,1,1,1,0,1.354045,1.354045,0.0,1.278438,50.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2025-06-02,02:00-03:00,3,3,3,0,5.208916,4.162482,1.0,0.867039,50.0,0.867039,0.836707,0.836707,1.0,0.666667,0.333333,0.0,1.0,,1.5,1.0,0,3
turtle_soup,2025-06-02,10:00-11:00,6,6,6,0,2.594074,2.452735,0.5,1.407187,60.0,-0.275251,0.254936,0.254936,0.5,0.5,0.0,0.5,1.0,2.0,1.0,,0,5
turtle_soup,2025-06-03,02:00-03:00,2,2,2,0,6.604323,6.604323,0.5,3.724682,60.0,0.46709,0.233545,0.233545,0.5,0.5,0.5,0.5,1.0,2.0,1.0,1.0,0,1
turtle_soup,2025-06-03,07:00-08:00,2,2,2,0,12.769472,12.769472,0.0,9.302208,60.0,-1.0,-0.25,-0.25,0.0,0.5,0.5,1.0,1.0,5.5,1.0,2.0,1,1
turtle_soup,2025-06-03,10:00-11:00,2,2,2,0,0.856757,0.856757,0.5,1.204407,50.0,0.029501,0.014751,0.014751,0.5,0.5,0.0,0.5,1.0,1.0,2.0,,0,2
turtle_soup,2025-06-04,02:00-03:00,2,2,2,0,6.628997,6.628997,0.0,3.089851,85.0,-1.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,6.0,4.0,,1,1
turtle_soup,2025-06-04,07:00-08:00,5,5,5,0,4.266594,4.470696,0.6,1.992228,56.0,0.174654,0.133162,0.133162,0.6,0.4,0.2,0.4,1.0,1.0,1.0,2.0,0,4
turtle_soup,2025-06-04,10:00-11:00,1,1,1,0,1.373182,1.373182,0.0,1.68369,50.0,-1.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,12.0,2.0,,0,1
turtle_soup,2025-06-05,02:00-03:00,3,3,3,0,9.529651,8.790179,0.0,4.539453,66.666667,-1.0,0.0,0.0,0.0,0.666667,0.333333,1.0,1.0,6.333333,4.5,11.0,1,1
turtle_soup,2025-06-05,07:00-08:00,4,4,4,0,30.787074,30.689829,0.25,3.058064,70.0,-0.306878,-0.403439,-0.403439,0.25,0.25,0.0,0.75,1.0,1.333333,3.0,,0,2
turtle_soup,2025-06-05,10:00-11:00,2,2,2,0,0.632828,0.632828,0.5,0.726452,50.0,-0.464635,-0.464635,-0.464635,0.5,0.0,0.0,0.5,1.0,6.0,,,0,2
turtle_soup,2025-06-07,02:00-03:00,2,2,2,0,0.634228,0.634228,0.0,0.899722,50.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,12.0,,,0,2
turtle_soup,2025-06-08,02:00-03:00,4,4,4,0,5.6192,5.76888,0.25,1.864757,55.0,-0.529373,-0.139687,-0.139687,0.25,0.5,0.0,0.75,1.0,5.0,5.5,,1,4
turtle_soup,2025-06-08,07:00-08:00,6,6,6,0,3.002869,2.654009,0.166667,1.836607,71.666667,-0.437769,-0.302218,-0.302218,0.166667,0.333333,0.166667,0.833333,1.0,2.2,2.0,1.0,2,5
turtle_soup,2025-06-08,10:00-11:00,1,1,1,0,0.388852,0.388852,0.0,0.978035,50.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2025-06-09,02:00-03:00,1,1,1,0,15.336176,15.336176,0.0,1.606725,50.0,-1.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,4.0,2.0,,0,1
turtle_soup,2025-06-09,10:00-11:00,2,2,2,0,0.659214,0.659214,0.0,5.776831,80.0,-1.0,-0.25,-0.25,0.0,0.5,0.0,1.0,1.0,6.0,3.0,,1,0
turtle_soup,2025-06-10,02:00-03:00,2,2,2,0,4.497771,4.497771,0.0,2.870623,60.0,-1.0,-0.25,-0.25,0.0,0.5,0.0,1.0,1.0,2.0,1.0,,1,1
turtle_soup,2025-06-10,07:00-08:00,2,2,2,0,3.48788,3.48788,0.5,1.111592,50.0,-0.106054,-0.053027,-0.053027,0.5,0.5,0.0,0.5,1.0,5.0,1.0,,0,2
turtle_soup,2025-06-10,10:00-11:00,2,2,2,0,4.16562,4.16562,0.0,1.93432,65.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.5,,,0,2
turtle_soup,2025-06-11,02:00-03:00,4,4,4,0,6.343464,6.076725,0.25,2.693678,60.0,-0.055084,0.097458,0.097458,0.25,0.5,0.5,0.75,1.0,5.666667,1.0,1.5,1,3
turtle_soup,2025-06-11,07:00-08:00,2,2,2,0,12.222978,12.222978,0.0,4.877333,60.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,1,1
turtle_soup,2025-06-11,10:00-11:00,1,1,1,0,4.408928,4.408928,1.0,0.865676,50.0,0.865676,0.932838,0.932838,1.0,1.0,0.0,0.0,1.0,,4.0,,0,1
turtle_soup,2025-06-12,02:00-03:00,5,5,5,0,8.977982,10.47037,0.4,4.56786,64.0,0.204246,0.302123,0.302123,0.4,0.6,0.4,0.6,1.0,2.0,1.333333,2.0,2,3
turtle_soup,2025-06-12,10:00-11:00,3,3,3,0,5.678192,7.074664,0.333333,1.80191,70.0,-0.330343,0.168162,0.168162,0.333333,0.666667,0.666667,0.666667,1.0,5.5,1.0,2.0,1,2
turtle_soup,2025-06-13,02:00-03:00,3,3,3,0,0.936574,0.901148,0.0,1.959764,60.0,-0.366284,0.133716,0.133716,0.0,0.333333,0.0,0.666667,1.0,2.5,1.0,,1,2
turtle_soup,2025-06-13,07:00-08:00,2,2,2,0,3.201748,3.201748,0.0,1.624623,50.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,3.0,,,0,2
turtle_soup,2025-06-13,10:00-11:00,5,5,5,0,2.568091,2.005707,0.6,0.894109,52.0,-0.136923,-0.088069,-0.088069,0.6,0.2,0.0,0.4,1.0,1.0,1.0,,0,5
turtle_soup,2025-06-14,07:00-08:00,1,1,1,0,0.366105,0.366105,0.0,1.81694,50.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2025-06-14,10:00-11:00,2,2,2,0,5.594903,5.594903,0.0,3.352163,70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.5,,,0,0
turtle_soup,2025-06-15,02:00-03:00,4,4,4,0,2.425302,1.681789,0.5,0.695334,55.0,-0.129236,-0.142632,-0.142632,0.5,0.25,0.25,0.5,1.0,4.5,1.0,1.0,0,4
turtle_soup,2025-06-15,07:00-08:00,3,3,3,0,1.465103,0.569436,0.333333,4.068382,66.666667,0.040403,-0.146465,-0.146465,0.333333,0.333333,0.333333,0.666667,1.0,2.0,4.0,4.0,0,1
turtle_soup,2025-06-15,10:00-11:00,4,4,4,0,6.770705,7.294241,0.25,1.239121,52.5,-0.641251,-0.570625,-0.570625,0.25,0.25,0.0,0.75,1.0,1.333333,1.0,,0,4
turtle_soup,2025-06-16,07:00-08:00,4,4,4,0,10.332148,4.430246,0.0,5.205442,60.0,-1.0,-0.25,-0.25,0.0,0.5,0.0,1.0,1.0,3.0,2.5,,1,2
turtle_soup,2025-06-16,10:00-11:00,1,1,1,0,9.201121,9.201121,1.0,1.057814,50.0,1.057814,1.028907,1.028907,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2025-06-17,02:00-03:00,1,1,1,0,0.099065,0.099065,0.0,9.286315,70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,0
turtle_soup,2025-06-17,07:00-08:00,1,1,1,0,0.265047,0.265047,0.0,9.120835,70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,3.0,,,0,0
turtle_soup,2025-06-17,10:00-11:00,1,1,1,0,0.008342,0.008342,0.0,2.939946,60.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2025-06-18,02:00-03:00,4,4,4,0,5.80925,5.941048,1.0,1.960708,57.5,1.960708,1.480354,1.480354,1.0,1.0,0.5,0.0,1.0,,2.0,3.0,0,3
turtle_soup,2025-06-18,07:00-08:00,4,4,4,0,3.758401,3.433275,0.5,1.801312,52.5,0.173629,0.086814,0.086814,0.5,0.5,0.25,0.5,1.0,2.0,2.0,2.0,0,4
turtle_soup,2025-06-18,10:00-11:00,4,4,4,0,0.766628,0.439349,0.75,0.46124,50.0,0.071122,0.071122,0.071122,0.75,0.0,0.0,0.25,1.0,1.0,,,0,4
turtle_soup,2025-06-19,02:00-03:00,4,4,4,0,2.413405,2.494622,0.0,2.20464,77.5,-1.0,-0.625,-0.625,0.0,0.25,0.0,1.0,1.0,7.5,6.0,,1,4
turtle_soup,2025-06-19,07:00-08:00,5,5,5,0,6.563331,8.113151,0.0,2.423054,62.0,-1.0,-0.7,-0.7,0.0,0.2,0.0,1.0,1.0,2.4,3.0,,0,3
turtle_soup,2025-06-19,10:00-11:00,2,2,2,0,1.81808,1.81808,0.0,2.557015,60.0,-1.0,-0.25,-0.25,0.0,0.5,0.0,1.0,1.0,2.0,1.0,,0,2
turtle_soup,2025-06-20,02:00-03:00,3,3,3,0,6.947363,0.664652,0.0,1.686737,60.0,-1.0,-0.5,-0.5,0.0,0.333333,0.0,1.0,1.0,3.333333,2.0,,0,3
turtle_soup,2025-06-20,07:00-08:00,2,2,2,0,1.673862,1.673862,0.0,1.80878,50.0,-1.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,3.0,2.0,,1,2
turtle_soup,2025-06-20,10:00-11:00,1,1,1,0,0.797688,0.797688,0.0,1.033382,50.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,6.0,,,0,1
turtle_soup,2025-06-21,02:00-03:00,1,1,1,0,0.03675,0.03675,0.0,0.211196,50.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,6.0,,,0,1
