time,funding_rate,premium
1774731600036,6.25e-06,-0.0001521839
1774735200009,6.25e-06,-9.6223e-05
1774738800040,6.25e-06,-3.73269e-05
1774742400085,-9.13991e-05,-0.0017623849
1774746000068,-7.09314e-05,-0.0014349024
1774749600040,-1.0567e-05,-0.0004690726
1774753200050,-5.3236e-06,-0.0003851776
1774756800034,3.55913e-05,0.0008694611
1774760400054,6.25e-06,0.0001676402
1774764000017,2.4423e-06,-0.0002609237
1774767600047,6.25e-06,-0.0001795872
1774771200033,-9.5898e-06,-0.0004534374
1774774800036,1.7578e-06,-0.0002718748
1774778400121,-1.59991e-05,-0.0005559851
1774782000002,-3.79901e-05,-0.0009078411
1774785600067,6.25e-06,-6.68229e-05
1774789200056,1.24777e-05,0.0004996431
1774792800026,6.25e-06,1.69492e-05
1774796400057,6.25e-06,-7.87428e-05
1774800000029,6.4753e-06,0.0004036041
1774803600011,1.39049e-05,0.000522478
1774807200092,-3.874e-06,-0.0003619841
1774810800066,1.49813e-05,0.0005397007
1774814400062,6.25e-06,-9.3822e-06
1774818000026,6.25e-06,-2.25006e-05
1774821600013,6.25e-06,0.0002425117
1774825200096,-2.60143e-05,-0.0007162291
1774828800038,-2.50192e-05,-0.0007003072
1774832400030,-2.74962e-05,-0.0007399385
1774836000054,-3.25828e-05,-0.0008213245
1774839600013,-3.31847e-05,-0.0008309551
1774843200074,-2.37017e-05,-0.0006792277
1774846800056,-9.6365e-06,-0.000454184
1774850400089,6.0476e-06,-0.0002032384
1774854000043,6.25e-06,-0.0001794037
1774857600192,1.54e-06,-0.0002753604
1774861200039,4.4024e-06,-0.0002295619
1774864800052,-2.378e-06,-0.0003380482
1774868400059,-2.6342e-06,-0.000342148
1774872000038,-2.0982e-06,-0.0003335704
1774875600031,-2.7782e-06,-0.0003444506
1774879200046,-4.297e-06,-0.000368752
1774882800019,6.25e-06,-4.74326e-05
1774886400071,6.25e-06,-2.85228e-05
1774890000108,2.4205e-06,-0.0002612714
1774893600051,1.8749e-06,-0.0002700011
1774897200085,1.8138e-06,-0.0002709785
1774900800055,6.25e-06,-0.0001758633
1774904400095,6.25e-06,-0.0001813438
1774908000021,6.25e-06,0.0001057496
1774911600066,6.25e-06,-4.51187e-05
1774915200016,6.25e-06,-9.77275e-05
1774918800038,6.25e-06,-6.7107e-05
1774922400066,6.25e-06,-0.0001808303
1774926000092,2.553e-06,-0.0002591526
1774929600073,-1.40066e-05,-0.0005241062
1774933200062,-2.07814e-05,-0.0006325021
1774936800022,-2.61877e-05,-0.0007190032
1774940400045,-2.21564e-05,-0.0006545028
1774944000000,-2.52867e-05,-0.0007045864
1774947600056,-1.7688e-05,-0.0005830084
1774951200021,-7.7191e-06,-0.0004235052
1774954800032,-1.1897e-05,-0.0004903527
1774958400073,-2.12446e-05,-0.0006399135
1774962000030,-2.62319e-05,-0.0007197106
1774965600038,-2.53314e-05,-0.000705303
1774969200043,-2.40739e-05,-0.0006851829
1774972800025,-1.115e-06,-0.0003178405
1774976400030,6.25e-06,4.39304e-05
1774980000007,4.8704e-06,-0.0002220734
1774983600051,-7.993e-06,-0.0004278886
1774987200039,-2.78201e-05,-0.0007451219
1774990800026,-4.63699e-05,-0.001041919
1774994400046,-2.41574e-05,-0.0006865181
1774998000029,-4.63921e-05,-0.0010422732
1775001600068,-2.60132e-05,-0.0007162109
1775005200022,-1.537e-05,-0.0005459196
1775008800050,-2.31425e-05,-0.0006702804
1775012400044,-2.38521e-05,-0.0006816338
1775016000042,-1.75986e-05,-0.0005815775
1775019600057,-1.78072e-05,-0.0005849153
1775023200051,-6.2104e-06,-0.0003993663
1775026800039,-8.836e-06,-0.0004413756
1775030400062,-3.6576e-06,-0.0003585212
1775034000046,-4.601e-06,-0.0003736159
1775037600050,-1.02704e-05,-0.0004643257
1775041200068,-9.2873e-06,-0.0004485971
1775044800081,-1.6532e-06,-0.0003264513
1775048400011,-3.2613e-06,-0.0003521804
1775052000131,-1.41305e-05,-0.0005260872
1775055600029,-1.89363e-05,-0.0006029812
1775059200078,-1.83423e-05,-0.0005934762
1775062800076,-2.65545e-05,-0.0007248726
1775066400071,-2.51258e-05,-0.0007020128
1775070000017,-3.85775e-05,-0.0009172399
1775073600045,-3.28578e-05,-0.0008257243
1775077200041,-5.41999e-05,-0.0011671988
1775080800030,-7.72674e-05,-0.0015362784
1775084400042,-7.39463e-05,-0.0014831414
1775088000177,-7.24134e-05,-0.001458615
1775091600004,-6.9581e-05,-0.0014132968
1775095200060,-8.37221e-05,-0.0016395529
1775098800041,-7.66902e-05,-0.0015270434
