time,funding_rate,premium
1771538400022,-2.07646e-05,-0.0006322337
1771542000042,2.1589e-06,-0.0002654573
1771545600035,-2.51834e-05,-0.0007029342
1771549200190,-1.56231e-05,-0.0005499704
1771552800054,-8.9601e-06,-0.0004433614
1771556400118,-1.3204e-05,-0.000511264
1771560000085,-8.9154e-06,-0.0004426465
1771563600048,-1.10277e-05,-0.000476444
1771567200033,5.3144e-06,-0.0002149701
1771570800077,6.4968e-06,0.0004039493
1771574400069,9.7635e-06,0.0004562161
1771578000018,6.25e-06,0.0002404932
1771581600018,6.25e-06,-9.36061e-05
1771585200029,6.25e-06,-0.0001022069
1771588800020,6.25e-06,-0.0001914808
1771592400001,6.25e-06,-0.0001702155
1771596000062,6.25e-06,-0.0001989015
1771599600013,-2.2473e-06,-0.0003359573
1771603200044,6.25e-06,-0.0001558742
1771606800002,-8.1104e-06,-0.0004297668
1771610400056,-1.35354e-05,-0.0005165657
1771614000125,3.7223e-06,-0.0002404434
1771617600028,2.4904e-06,-0.0002601539
1771621200083,3.7068e-06,-0.0002406907
1771624800095,4.5458e-06,-0.0002272676
1771628400033,6.25e-06,-0.0001499675
1771632000011,6.25e-06,6.36656e-05
1771635600131,6.25e-06,2.93145e-05
1771639200011,6.25e-06,-8.92245e-05
1771642800063,6.25e-06,1.88911e-05
1771646400080,6.25e-06,3.076e-05
1771650000080,6.25e-06,3.78209e-05
1771653600034,6.25e-06,0.0001116008
1771657200068,6.25e-06,2.93948e-05
1771660800035,6.25e-06,-2.80792e-05
1771664400020,6.25e-06,-0.0001201663
1771668000068,6.25e-06,-6.50708e-05
1771671600028,6.25e-06,-0.0001537133
1771675200071,-5.5595e-06,-0.0003889516
1771678800019,6.25e-06,0.0003449118
1771682400000,6.25e-06,0.0001038266
1771686000011,6.25e-06,-0.0001567114
1771689600010,3.10616e-05,0.0007969864
1771693200060,6.25e-06,-0.0001245535
1771696800086,6.25e-06,5.08291e-05
1771700400111,-5.4027e-06,-0.0003864432
1771704000048,-7.18427e-05,-0.0014494825
1771707600024,-8.7185e-06,-0.000439496
1771711200037,6.25e-06,0.0001075023
1771714800054,-4.8449e-06,-0.0003775191
1771718400015,-1.31991e-05,-0.0005111853
1771722000084,6.25e-06,-0.0001359967
1771725600046,2.6226e-06,-0.0002580384
1771729200056,6.25e-06,-6.89077e-05
1771732800066,6.25e-06,0.0002010011
1771736400123,6.25e-06,9.93698e-05
1771740000012,6.25e-06,-5.9084e-05
1771743600039,6.25e-06,-6.96803e-05
1771747200009,6.25e-06,-0.000171534
1771750800017,6.25e-06,-8.272e-07
1771754400091,6.25e-06,9.70663e-05
1771758000056,6.25e-06,5.65684e-05
1771761600075,6.25e-06,8.58357e-05
1771765200038,6.25e-06,0.0001016171
1771768800048,1.79026e-05,0.0005864418
1771772400114,6.25e-06,-0.0001817208
1771776000015,6.25e-06,-0.0001123399
1771779600036,6.25e-06,3.28081e-05
1771783200075,-3.2601e-06,-0.0003521614
1771786800006,6.25e-06,-0.0001434359
1771790400029,1.48084e-05,0.0005369349
1771794000000,1.20494e-05,0.0004927901
1771797600023,6.25e-06,8.52443e-05
1771801200093,5.442e-06,-0.0002129288
1771804800016,6.25e-06,0.0001580021
1771808400004,-2.6227e-06,-0.0003419626
1771812000025,-1.53255e-05,-0.0005452084
1771815600025,-2.24513e-05,-0.0006592206
1771819200028,-2.30934e-05,-0.0006694944
1771822800010,-2.38418e-05,-0.0006814682
1771826400078,-8.702e-06,-0.0004392314
1771830000058,-4.5241e-06,-0.0003723852
1771833600004,-2.1328e-06,-0.000334125
1771837200103,-4.471e-07,-0.0003071531
1771840800012,-1.27894e-05,-0.0005046306
1771844400010,-2.0483e-05,-0.0006277277
1771848000004,-1.43805e-05,-0.0005300881
1771851600080,-1.53539e-05,-0.0005456617
1771855200028,-1.37151e-05,-0.0005194419
1771858800059,-2.41222e-05,-0.0006859549
1771862400045,-8.6735e-06,-0.0004387753
1771866000042,5.8278e-06,-0.0002067549
1771869600076,6.25e-06,-0.0001238284
1771873200053,6.25e-06,-0.0001326674
1771876800017,6.25e-06,0.0001387953
1771880400054,6.25e-06,8.72293e-05
1771884000029,6.25e-06,0.0001196169
1771887600037,6.25e-06,0.0001822044
1771891200048,6.25e-06,0.00010216
1771894800134,6.25e-06,-1.52446e-05
1771898400050,6.25e-06,-8.62839e-05
1771902000046,6.25e-06,-0.0001318407
1771905600015,6.25e-06,6.9332e-06
1771909200026,6.25e-06,-8.29274e-05
1771912800085,6.25e-06,4.57555e-05
1771916400076,6.25e-06,-0.0001011195
1771920000022,6.25e-06,-0.0001117077
1771923600048,6.25e-06,-9.5641e-05
1771927200044,6.25e-06,-0.0001289951
1771930800020,6.25e-06,-6.73932e-05
1771934400025,4.7316e-06,-0.0002242946
1771938000047,1.55e-07,-0.0002975198
1771941600060,-4.0101e-06,-0.0003641609
1771945200057,-9.98e-07,-0.0003159674
1771948800005,6.25e-06,-4.71669e-05
1771952400049,6.25e-06,-0.0001170996
1771956000022,6.25e-06,0.0001738762
1771959600066,6.25e-06,-1.80681e-05
1771963200026,6.25e-06,5.539e-07
1771966800002,6.25e-06,9.78214e-05
1771970400030,6.25e-06,-0.0001161964
1771974000078,6.25e-06,0.0002336235
1771977600014,6.25e-06,1.49118e-05
1771981200032,6.25e-06,-0.0001576243
